datetime,Open,High,Low,Close,Volume
20.06.2017 13:00:00.000,146.828,146.837,145.357,145.413,21.2744
20.06.2017 14:00:00.000,145.410,146.053,145.261,145.920,31.4825
20.06.2017 15:00:00.000,145.929,145.933,145.005,145.425,29.8859
20.06.2017 16:00:00.000,145.438,145.722,145.050,145.272,26.648
20.06.2017 17:00:00.000,145.273,145.569,145.130,145.533,22.1295
20.06.2017 18:00:00.000,145.531,145.710,145.213,145.522,22.7878
20.06.2017 19:00:00.000,145.530,145.940,144.946,145.000,30.9142
20.06.2017 20:00:00.000,144.998,145.007,144.998,145.007,0.0047
21.06.2017 13:00:00.000,145.480,145.680,144.610,144.740,17.93
21.06.2017 14:00:00.000,144.733,145.770,144.733,145.590,33.43
21.06.2017 15:00:00.000,145.583,145.740,145.101,145.711,30.76
21.06.2017 16:00:00.000,145.712,145.733,145.242,145.413,29.34
21.06.2017 17:00:00.000,145.413,145.700,145.251,145.464,29.66
21.06.2017 18:00:00.000,145.450,145.980,145.300,145.790,30.1
21.06.2017 19:00:00.000,145.794,146.060,145.703,145.870,31.49
22.06.2017 13:00:00.000,145.730,145.960,145.120,145.332,18.34
22.06.2017 14:00:00.000,145.343,145.790,145.112,145.510,34.6
22.06.2017 15:00:00.000,145.513,145.572,145.160,145.360,30.39
22.06.2017 16:00:00.000,145.353,146.433,145.240,146.341,28.71
22.06.2017 17:00:00.000,146.350,146.690,146.240,146.400,26.85
22.06.2017 18:00:00.000,146.412,146.511,146.240,146.310,25.01
22.06.2017 19:00:00.000,146.310,146.322,145.520,145.645,29.39
23.06.2017 13:00:00.000,145.132,145.890,145.103,145.803,18.2
23.06.2017 14:00:00.000,145.800,146.290,145.443,146.120,32.94
23.06.2017 15:00:00.000,146.120,146.900,146.090,146.862,29.03
23.06.2017 16:00:00.000,146.854,147.020,146.565,146.900,25.22
23.06.2017 17:00:00.000,146.890,147.150,146.640,147.010,25.63
23.06.2017 18:00:00.000,147.010,147.075,146.601,146.660,26.28
23.06.2017 19:00:00.000,146.661,146.730,146.194,146.285,32.38
26.06.2017 13:00:00.000,147.080,148.280,147.080,147.940,20.32
26.06.2017 14:00:00.000,147.970,147.991,146.160,146.491,41.23
26.06.2017 15:00:00.000,146.500,146.503,145.380,145.870,41.18
26.06.2017 16:00:00.000,145.870,146.490,145.620,146.330,31.58
26.06.2017 17:00:00.000,146.330,146.404,146.010,146.204,27.67
26.06.2017 18:00:00.000,146.190,146.251,145.733,145.940,29.56
26.06.2017 19:00:00.000,145.941,146.070,145.673,145.780,32.34
26.06.2017 20:00:00.000,145.800,145.800,145.800,145.800,0.01
27.06.2017 13:00:00.000,145.012,145.650,144.790,145.300,20.12
27.06.2017 14:00:00.000,145.282,146.140,145.241,145.822,36.2
27.06.2017 15:00:00.000,145.830,146.002,145.450,145.632,32.83
27.06.2017 16:00:00.000,145.610,145.913,144.950,145.073,31.88
27.06.2017 17:00:00.000,145.070,145.174,143.950,144.480,39.29
27.06.2017 18:00:00.000,144.482,144.680,144.150,144.570,38.6
27.06.2017 19:00:00.000,144.571,144.775,143.624,143.723,41.56
28.06.2017 13:00:00.000,143.920,144.390,143.410,143.564,18.52
28.06.2017 14:00:00.000,143.510,145.250,143.160,145.020,35.35
28.06.2017 15:00:00.000,145.000,145.330,144.760,145.090,33.7
28.06.2017 16:00:00.000,145.082,145.854,144.944,145.660,28.86
28.06.2017 17:00:00.000,145.673,146.030,145.460,145.470,26.89
28.06.2017 18:00:00.000,145.480,145.902,145.470,145.831,28.3
28.06.2017 19:00:00.000,145.832,146.100,145.630,145.830,28.32
28.06.2017 20:00:00.000,145.844,145.844,145.844,145.844,0.01
29.06.2017 13:00:00.000,144.700,145.100,144.204,144.371,21.48
29.06.2017 14:00:00.000,144.390,144.743,143.970,144.310,43.08
29.06.2017 15:00:00.000,144.311,144.500,142.994,143.190,46.51
